Reference Area,Reference Period,Indicator,Sex,Measure Type,Value
Scotland,2012,Alcohol consumption: Hazardous/Harmful drinker,All,Percent,28
Scotland,2012,Alcohol consumption: Hazardous/Harmful drinker,All,95% Lower Confidence Limit,25.8
Scotland,2012,Alcohol consumption: Hazardous/Harmful drinker,All,95% Upper Confidence Limit,29.3
Scotland,2012,Alcohol consumption: Hazardous/Harmful drinker,Female,Percent,18
Scotland,2012,Alcohol consumption: Hazardous/Harmful drinker,Female,95% Lower Confidence Limit,16
Scotland,2012,Alcohol consumption: Hazardous/Harmful drinker,Female,95% Upper Confidence Limit,19.8
Scotland,2012,Alcohol consumption: Hazardous/Harmful drinker,Male,Percent,38
Scotland,2012,Alcohol consumption: Hazardous/Harmful drinker,Male,95% Lower Confidence Limit,35.4
Scotland,2012,Alcohol consumption: Hazardous/Harmful drinker,Male,95% Upper Confidence Limit,40.8
Scotland,2012,Alcohol consumption: Moderate drinker,All,Percent,57
Scotland,2012,Alcohol consumption: Moderate drinker,All,95% Lower Confidence Limit,55.4
Scotland,2012,Alcohol consumption: Moderate drinker,All,95% Upper Confidence Limit,59.5
Scotland,2012,Alcohol consumption: Moderate drinker,Female,Percent,65
Scotland,2012,Alcohol consumption: Moderate drinker,Female,95% Lower Confidence Limit,62.3
Scotland,2012,Alcohol consumption: Moderate drinker,Female,95% Upper Confidence Limit,66.9
Scotland,2012,Alcohol consumption: Moderate drinker,Male,Percent,50
Scotland,2012,Alcohol consumption: Moderate drinker,Male,95% Lower Confidence Limit,46.8
Scotland,2012,Alcohol consumption: Moderate drinker,Male,95% Upper Confidence Limit,52.4
Scotland,2012,Alcohol consumption: Non-drinker,All,Percent,15
Scotland,2012,Alcohol consumption: Non-drinker,All,95% Lower Confidence Limit,13.6
Scotland,2012,Alcohol consumption: Non-drinker,All,95% Upper Confidence Limit,16.4
Scotland,2012,Alcohol consumption: Non-drinker,Female,Percent,17
Scotland,2012,Alcohol consumption: Non-drinker,Female,95% Lower Confidence Limit,15.7
Scotland,2012,Alcohol consumption: Non-drinker,Female,95% Upper Confidence Limit,19.3
Scotland,2012,Alcohol consumption: Non-drinker,Male,Percent,12
Scotland,2012,Alcohol consumption: Non-drinker,Male,95% Lower Confidence Limit,10.5
Scotland,2012,Alcohol consumption: Non-drinker,Male,95% Upper Confidence Limit,14
Scotland,2012,Fruit & vegetable consumption: 5 portions or more,All,Percent,20
Scotland,2012,Fruit & vegetable consumption: 5 portions or more,All,95% Lower Confidence Limit,18.8
Scotland,2012,Fruit & vegetable consumption: 5 portions or more,All,95% Upper Confidence Limit,21.6
Scotland,2012,Fruit & vegetable consumption: 5 portions or more,Female,Percent,21
Scotland,2012,Fruit & vegetable consumption: 5 portions or more,Female,95% Lower Confidence Limit,19.4
Scotland,2012,Fruit & vegetable consumption: 5 portions or more,Female,95% Upper Confidence Limit,22.6
Scotland,2012,Fruit & vegetable consumption: 5 portions or more,Male,Percent,19
Scotland,2012,Fruit & vegetable consumption: 5 portions or more,Male,95% Lower Confidence Limit,17.4
Scotland,2012,Fruit & vegetable consumption: 5 portions or more,Male,95% Upper Confidence Limit,21.5
Scotland,2012,Fruit & vegetable consumption: Less than 5 portions,All,Percent,70
Scotland,2012,Fruit & vegetable consumption: Less than 5 portions,All,95% Lower Confidence Limit,68.3
Scotland,2012,Fruit & vegetable consumption: Less than 5 portions,All,95% Upper Confidence Limit,71.5
Scotland,2012,Fruit & vegetable consumption: Less than 5 portions,Female,Percent,70
Scotland,2012,Fruit & vegetable consumption: Less than 5 portions,Female,95% Lower Confidence Limit,68.2
Scotland,2012,Fruit & vegetable consumption: Less than 5 portions,Female,95% Upper Confidence Limit,72
Scotland,2012,Fruit & vegetable consumption: Less than 5 portions,Male,Percent,70
Scotland,2012,Fruit & vegetable consumption: Less than 5 portions,Male,95% Lower Confidence Limit,67.4
Scotland,2012,Fruit & vegetable consumption: Less than 5 portions,Male,95% Upper Confidence Limit,72
Scotland,2012,Fruit & vegetable consumption: None,All,Percent,10
Scotland,2012,Fruit & vegetable consumption: None,All,95% Lower Confidence Limit,8.7
Scotland,2012,Fruit & vegetable consumption: None,All,95% Upper Confidence Limit,11.1
Scotland,2012,Fruit & vegetable consumption: None,Female,Percent,9
Scotland,2012,Fruit & vegetable consumption: None,Female,95% Lower Confidence Limit,7.5
Scotland,2012,Fruit & vegetable consumption: None,Female,95% Upper Confidence Limit,10.3
Scotland,2012,Fruit & vegetable consumption: None,Male,Percent,11
Scotland,2012,Fruit & vegetable consumption: None,Male,95% Lower Confidence Limit,9.3
Scotland,2012,Fruit & vegetable consumption: None,Male,95% Upper Confidence Limit,12.5
Scotland,2012,General health questionnaire (GHQ-12): Score 0,All,Percent,62
Scotland,2012,General health questionnaire (GHQ-12): Score 0,All,95% Lower Confidence Limit,60.1
Scotland,2012,General health questionnaire (GHQ-12): Score 0,All,95% Upper Confidence Limit,63.9
Scotland,2012,General health questionnaire (GHQ-12): Score 0,Female,Percent,59
Scotland,2012,General health questionnaire (GHQ-12): Score 0,Female,95% Lower Confidence Limit,56.3
Scotland,2012,General health questionnaire (GHQ-12): Score 0,Female,95% Upper Confidence Limit,60.9
Scotland,2012,General health questionnaire (GHQ-12): Score 0,Male,Percent,66
Scotland,2012,General health questionnaire (GHQ-12): Score 0,Male,95% Lower Confidence Limit,62.9
Scotland,2012,General health questionnaire (GHQ-12): Score 0,Male,95% Upper Confidence Limit,68.4
Scotland,2012,General health questionnaire (GHQ-12): Score 1-3,All,Percent,23
Scotland,2012,General health questionnaire (GHQ-12): Score 1-3,All,95% Lower Confidence Limit,21.4
Scotland,2012,General health questionnaire (GHQ-12): Score 1-3,All,95% Upper Confidence Limit,24.4
Scotland,2012,General health questionnaire (GHQ-12): Score 1-3,Female,Percent,24
Scotland,2012,General health questionnaire (GHQ-12): Score 1-3,Female,95% Lower Confidence Limit,22.1
Scotland,2012,General health questionnaire (GHQ-12): Score 1-3,Female,95% Upper Confidence Limit,25.8
Scotland,2012,General health questionnaire (GHQ-12): Score 1-3,Male,Percent,22
Scotland,2012,General health questionnaire (GHQ-12): Score 1-3,Male,95% Lower Confidence Limit,19.4
Scotland,2012,General health questionnaire (GHQ-12): Score 1-3,Male,95% Upper Confidence Limit,23.9
Scotland,2012,General health questionnaire (GHQ-12): Score 4+,All,Percent,15
Scotland,2012,General health questionnaire (GHQ-12): Score 4+,All,95% Lower Confidence Limit,13.9
Scotland,2012,General health questionnaire (GHQ-12): Score 4+,All,95% Upper Confidence Limit,16.5
Scotland,2012,General health questionnaire (GHQ-12): Score 4+,Female,Percent,17
Scotland,2012,General health questionnaire (GHQ-12): Score 4+,Female,95% Lower Confidence Limit,15.7
Scotland,2012,General health questionnaire (GHQ-12): Score 4+,Female,95% Upper Confidence Limit,19.2
